~000132~,~Mobile poll/Bureau itinérant~
~000589~,~Guysborough N~
~000590~,~Guysborough~
~000591~,~Erinville~
~000592~,~Country Harbour~
~000593~,~Goshen~
~000594~,~Glenelg~
~000595~,~Caledonia~
~000596~,~Ecum Secum--Marie Joseph~
~000597~,~Liscombe~
~000598~,~Sonora~
~000599~,~Sherbrooke~
~000600~,~Port Hilford~
~000601~,~Port Beckerton--Fisher Ha~
~000602~,~Isaac's Harbour--Stormont~
~000603~,~Country Harbour Crrd/Carref~
~000604~,~Goldboro--Seal Harbour~
~000605~,~New Harbour--Tor Bay~
~000606~,~Charlos Cove~
~000607~,~Halfway Cove~
~000608~,~Port Felix--Whitehead~
~000609~,~Queensport~
~000610~,~Dover~
~000611~,~Hazel Hill~
~000612~,~Canso~
~000613~,~Port Hastings~
~000614~,~Creignish S~
~000615~,~Creignish N~
~000616~,~Judique S~
~000617~,~Judique N~
~000618~,~Harbourview~
~000619~,~Glencoe Station~
~000620~,~Port Hood~
~000621~,~West Mabou Harbour~
~000622~,~Glencoe--Southwest Ridge~
~000623~,~Glenora Falls~
~000624~,~Glendyer~
~000625~,~Brook Village~
~000626~,~Stewartdale~
~000627~,~Strathlorne~
~000628~,~Broad Cove Banks~
~000629~,~Inverness~
~000630~,~Dunvegan~
~000631~,~Trout River~
~000632~,~Scotsville~
~000633~,~South West Margaree~
~000634~,~Margaree Forks~
~000635~,~Margaree Harbour~
~000636~,~Margaree~
~000637~,~Margaree Centre~
~000638~,~North East Margaree~
~000639~,~Big Intervale--Margaree Ctr.~
~000640~,~Belle Côte~
~000641~,~St. Joseph du Moine~
~000642~,~Grand Étang~
~000643~,~Point Cross~
~000644~,~Plateau~
~000645~,~Belle-Marche~
~000646~,~Chéticamp S~
~000647~,~Chéticamp Centre~
~000648~,~Chéticamp--Redman~
~000649~,~Chéticamp N~
~000650~,~Petit Étang~
~000651~,~North Gut St. Anns~
~000652~,~Baddeck E~
~000653~,~Baddeck~
~000654~,~Washabuck Iona~
~000655~,~Iona~
~000656~,~Little Narrows S~
~000657~,~Little Narrows N~
~000658~,~Middle River~
~000659~,~Whycocomagh~
~000660~,~Whycocomagh I.R./R.I.~
~000661~,~Melford~
~000662~,~Orangedale~
~000663~,~River Denys--Valley Mills~
~000664~,~West Bay--Marble Mountain~
~000665~,~West Bay Road~
~000666~,~Glendale~
~000667~,~Port Hawkesbury~
~000668~,~River Inhabitants~
~000669~,~Evanston~
~000670~,~Black River~
~000671~,~French Cove--Sampsonville~
~000672~,~St. Peter's W/O~
~000673~,~River Bourgeois W/O~
~000674~,~River Bourgeois~
~000675~,~Louisdale W/O~
~000676~,~Louisdale Centre~
~000677~,~Louisdale--Grandique~
~000678~,~Port Royal~
~000679~,~D'Escousse~
~000680~,~Rocky Bay--Poirierville~
~000681~,~Boudreauville~
~000682~,~Petit-de-Grat~
~000683~,~Sampsons Cove--Little Anse~
~000684~,~Arichat--Cape Auget~
~000685~,~Arichat--Grandique~
~000686~,~Arichat Centre~
~000687~,~West Arichat E~
~000688~,~West Arichat~
~000689~,~Tracadie~
~000690~,~Arichat~
~000691~,~Louisdale~
~000692~,~Chéticamp~
~000693~,~St. Peter's~
~000694~,~Meat Cove--St. Margaret~
~000695~,~Cape North--Dingwall~
~000696~,~White Point~
~000697~,~Neils Harbour~
~000698~,~Pleasant Bay~
~000699~,~Ingonish~
~000700~,~Ingonish Centre~
~000701~,~Ingonish Beach~
~000702~,~North Shore~
~000703~,~North River~
~000704~,~Englishtown~
~000705~,~Boularderie S~
~000706~,~Boularderie N~
~000707~,~Boularderie Island S~
~000708~,~Millville~
~000709~,~Point Aconi~
~000710~,~Mill Creek~
~000711~,~Alder Point--Little Pond N~
~000712~,~Alder Point--Little Pond S~
~000713~,~Bras d'Or N~
~000714~,~Florence~
~000715~,~Sydney Mines~
~000716~,~Tobin Rd/Ch~
~000717~,~Gannon Road~
~000718~,~Bras d'Or S~
~000719~,~North Sydney~
~000720~,~Johnstone Rd/Ch--Georges Riv~
~000721~,~Georges River--Scotch Lake~
~000722~,~Leitches Creek~
~000723~,~Boisdale~
~000724~,~Christmas II--Grand Narrows~
~000725~,~Eskasoni I.R./R.I.~
~000726~,~Northside East Bay~
~000727~,~French Vale~
~000728~,~Blacketts Lake~
~000729~,~Balls Creek--Campbells Hill~
~000730~,~Rear Balls Creek~
~000731~,~Rudderham Rd/Ch~
~000732~,~Point Edward--Edwardsville~
~000733~,~Keltic Dr/Pm~
~000734~,~Cantley Village~
~000735~,~Coxheath~
~000736~,~The Cove Nursing Home~
~000737~,~Sydney~
~000738~,~MacGillivary Guest Home~
~000739~,~Senior Citizens Home~
~000740~,~Cape North~
~000741~,~Georges River~
~000742~,~Eskasoni~
~000743~,~Pictou~
~000744~,~Pictou--Caribou~
~000745~,~Toney River~
~000746~,~Pictou--Cape John~
~000747~,~Pictou--River John~
~000748~,~Pictou--Welsford~
~000749~,~Scotsburn--Meadowville~
~000750~,~Scotsburn~
~000751~,~Scotsburn--River Area~
~000752~,~Lyons Brook~
~000753~,~Scotch Hill--Lyons Brook~
~000754~,~Loch Broom~
~000755~,~Alma~
~000756~,~Greenhill~
~000757~,~West Branch River John~
~000758~,~Salt Springs~
~000759~,~Mount Thom~
~000760~,~Millbrook~
~000761~,~Lairg~
~000762~,~Pictou Island~
~000763~,~Fishers Grant--Pictou Landing~
~000764~,~Pictou Landing I.R./R.I.~
~000765~,~Abercrombie~
~000766~,~Westville Rd/Ch~
~000767~,~Middle River--Glengarry~
~000768~,~Hopewell W/O~
~000769~,~Eureka~
~000770~,~Riverton~
~000771~,~Churchville--Mountville~
~000772~,~Plymouth Park~
~000773~,~McLellans Brook~
~000774~,~Priestville--Walkerville~
~000775~,~Linacy~
~000776~,~Frasers Mountain~
~000777~,~Little Harbour~
~000778~,~Pine Tree--Woodburn~
~000779~,~Merigomish~
~000780~,~Baileys Brook~
~000781~,~Blue Mountain~
~000782~,~French River~
~000783~,~Thorburn~
~000784~,~McLellans Mountain~
~000785~,~Bridgeville~
~000786~,~Hopewell E~
~000787~,~Lorne~
~000788~,~Sunnybrae~
~000789~,~Garden of Eden~
~000790~,~East River St. Marys~
~000791~,~New Glasgow~
~000792~,~Trenton~
~000793~,~Westville~
~000794~,~Stellarton~
~000795~,~Trafalgar~
~000796~,~Upper Musquodoboit E~
~000797~,~Upper Musquodoboit W/O~
~000798~,~Mooseland~
~000799~,~Middle Musquodoboit~
~000800~,~Middle Musquodoboit E~
~000801~,~Meaghers Grant~
~000802~,~Cooks Brook~
~000803~,~Carrolls Corner~
~000804~,~Dutch Settlement E~
~000805~,~Dutch Settlement W/O~
~000806~,~North Porter's Lake--Myra Rd~
~000807~,~Lake Echo N~
~000808~,~Wonderland--Mountain View Trailers Park~
~000809~,~Lake Echo E~
~000810~,~Lake Echo--Bell Park~
~000811~,~Lake Echo Centre~
~000812~,~Lake Echo S~
~000813~,~W Lawrencetown--Minesville~
~000814~,~Upper Lawrencetown~
~000815~,~Lawrencetown Centre~
~000816~,~Conrods Beach~
~000817~,~Lawrencetown Beach~
~000818~,~Seaforth~
~000819~,~West Porters Lake~
~000820~,~Grand Desert~
~000821~,~West Chezzetcook~
~000822~,~Porters Lake Centre~
~000823~,~Middle Chezzetcook~
~000824~,~Head of Chezzetcook~
~000825~,~Gaetz Brook~
~000826~,~East Chezzetcook N~
~000827~,~East Chezzetcook S~
~000828~,~Musquodoboit Harbour E~
~000829~,~Head of Jeddore S~
~000830~,~Head of Jeddore~
~000831~,~West Jeddore~
~000832~,~East Jeddore~
~000833~,~Oyster Pond--Jeddore~
~000834~,~Clam Harbour~
~000835~,~Ship Harbour~
~000836~,~Shoal Bay W/O~
~000837~,~Shoal Bay E~
~000838~,~Spry Harbour~
~000839~,~Mushaboom~
~000840~,~West Sheet Harbour~
~000841~,~Sheet Harbour~
~000842~,~Sober Island~
~000843~,~Malay Falls--Lochaber Mines~
~000844~,~Quoddy--Port Dufferin~
~000845~,~Moser River~
~000846~,~Necum Teuch~
~000847~,~River John~
~000848~,~Lake Echo~
~000849~,~Oyster Pond~
~000850~,~Middle Musquodoboit W/O~
~000851~,~E Petpeswick--W Petpeswick~
~000852~,~Musquodoboit Harbour W/O~
~000853~,~Gays River~
~000854~,~Wittenburg~
~000855~,~Meadowvale~
~000856~,~Upper Stewiacke~
~000857~,~Middle Stewiacke~
~000858~,~Eastville~
~000859~,~Stewiacke E~
~000860~,~Stewiacke~
~000861~,~Fort Ellis~
~000862~,~Brookfield~
~000863~,~Greenfield~
~000864~,~Harmony--Camden~
~000865~,~Hilden~
~000866~,~Clifton~
~000867~,~Lower Truro Rd/Ch~
~000868~,~Lower Truro~
~000869~,~Truro Heights~
~000870~,~Millbrook I.R./R.I.~
~000871~,~Truro~
~000872~,~Bible Hill~
~000873~,~Salmon River~
~000874~,~Pictou Road--Valley~
~000875~,~Valley~
~000876~,~Mountain Lee Rd-Dickson Dr~
~000877~,~Upper North River~
~000878~,~East Mountain~
~000879~,~Kemptown~
~000880~,~Mountain Lee Rd-Brookside Rd~
~000881~,~Upper Onslow~
~000882~,~McCurdy Brook~
~000883~,~Central Onslow~
~000884~,~Lower Onslow~
~000885~,~Masstown~
~000886~,~Lower Debert--Debert~
~000887~,~Laybolt Rd/Ch--Gorman Rd/Ch~
~000888~,~Belmont E~
~000889~,~Belmont~
~000890~,~Debert N~
~000891~,~New Annan~
~000892~,~Nuttby-Kemptown Rd/Ch~
~000893~,~North Earltown~
~000894~,~Waughs River--Denmark~
~000895~,~Brule~
~000896~,~Tatamagouche--Balfron~
~000897~,~Tatamagouche W/O~
~000898~,~Tatamagouche E~
~000899~,~Bayhead~
~000900~,~West New Annan~
~000901~,~Debert~
~000902~,~Upper/Haut Londonderry~
~000903~,~Glenholme~
~000904~,~Great Village~
~000905~,~Londonderry~
~000906~,~Londonderry E~
~000907~,~Westchester~
~000908~,~Wentworth~
~000909~,~Wallace~
~000910~,~Malagash~
~000911~,~Wallace Bridge~
~000912~,~Pugwash~
~000913~,~Doherty Creek~
~000914~,~Middleboro~
~000915~,~Pugwash River~
~000916~,~Victoria~
~000917~,~Millvale~
~000918~,~Portapique~
~000919~,~Bass River~
~000920~,~Upper Economy~
~000921~,~Williamsville-Millvale~
~000922~,~Oxford~
~000923~,~Mount Pleasant~
~000924~,~Linden~
~000925~,~Northport~
~000926~,~Amherst~
~000927~,~Tidnish~
~000928~,~Amherst Head~
~000929~,~Brookdale~
~000930~,~Springhill Junction~
~000931~,~Springhill~
~000932~,~River Philip~
~000933~,~Collingwood~
~000934~,~Rodney~
~000935~,~Economy~
~000936~,~Five Islands~
~000937~,~Two Islands~
~000938~,~Moose River~
~000939~,~Mapleton~
~000940~,~Southampton~
~000941~,~Athol Road--Millers Corner~
~000942~,~Oxford Junction~
~000943~,~Maccan~
~000944~,~Nappan--Fenwick~
~000945~,~Fenwick~
~000946~,~Upper Nappan--Brookdale~
~000947~,~Hastings~
~000948~,~East Amherst-D'Orsay Rd/Ch~
~000949~,~Tyndal Road~
~000950~,~Fort Lawrence--East Amherst~
~000951~,~West Amherst--Amherst Point~
~000952~,~Lower Cove~
~000953~,~Lower Cove--Minudi~
~000954~,~Lower River Hebert--Nappan~
~000955~,~Strathcona~
~000956~,~River Hebert~
~000957~,~Joggins~
~000958~,~Shulie~
~000959~,~Boarsback--Shulie~
~000960~,~Cross Roads~
~000961~,~Parrsboro~
~000962~,~Deligent River/Rivière~
~000963~,~Port Greville~
~000964~,~Apple River~
~000965~,~Spencer Island--Apple River~
~000966~,~West Advocate~
~000967~,~Tatamagouche~
~000968~,~Cherry Brook--Montague~
~000969~,~New Road N~
~000970~,~New Road S~
~000971~,~Preston E~
~000972~,~Preston W/O~
~000973~,~Westphal~
~000974~,~Ross Rd/Ch~
~000975~,~Cole Harbour Rd/Ch~
~000976~,~Bisset-Cow Bay~
~000977~,~Cow Bay W/O~
~000978~,~Greenridge~
~000979~,~Oceanview Manor/Manoir~
~000980~,~Eastern Passage~
~000981~,~Eastern Passage 2~
~000982~,~Eastern Passage 1~
~000983~,~C.F.B./B.F.C. Shearwater 2~
~000984~,~Dartmouth~
~000985~,~Oakwood Terrace/Terrasse~
~000986~,~Maple Ridge Park~
~000987~,~Manor Park~
~000988~,~Lakefront~
~000989~,~Wyndholm~
~000990~,~Hawthorne~
~000991~,~Alderney-Kiwanis~
~000992~,~Crichton Park~
~000993~,~Northbrook~
~000994~,~Harbourshores~
~000995~,~Royalty-Nivens~
~000996~,~North End~
~000997~,~Tufts Cove~
~000998~,~Highfield Park~
~000999~,~Shannon Park~
~001000~,~Wallis Heights~
~001001~,~Waverly Rd/Ch~
~001002~,~Montebello~
~001003~,~Waverly--Admiral Westphal~
~001004~,~Admiral--Westphal~
~001005~,~Churchill~
~001006~,~Bel Ayr Park~
~001007~,~Humber Park~
~001008~,~Sunset Acres~
~001009~,~Forest Hills~
~001010~,~Halifax~
~001011~,~Colby Village~
~001012~,~Caldwell~
~001013~,~Forest Hills--Colby Village~
~001014~,~Eastern Pass--Colby Village~
~001015~,~Halifax County~
~001016~,~Halifax C--Spryfield~
~001017~,~Halifax C--Purcells Cove~
~001018~,~Herring Cove~
~001019~,~Fergusons Cove~
~001020~,~Portuguese~
~001021~,~Ketch Harbour~
~001022~,~Sambro~
~001023~,~Pennant~
~001024~,~Williamswood~
~001025~,~Harrietsfield~
~001026~,~Sable Island~
~001027~,~Kearney Lake~
~001028~,~Lakeside~
~001029~,~Timberlea~
~001030~,~Tantallon~
~001031~,~Hubley~
~001032~,~Goodwood~
~001033~,~Hatchet Lake~
~001034~,~Brookside Road~
~001035~,~Whites Lake~
~001036~,~Terence Bay~
~001037~,~Prospect Bay~
~001038~,~Shad Bay~
~001039~,~Bayside~
~001040~,~East Dover~
~001041~,~West Dover~
~001042~,~Indian Harbour~
~001043~,~Hacketts Cove~
~001044~,~Glen Margaret~
~001045~,~Seabright~
~001046~,~Glen Haven~
~001047~,~Hubbards~
~001048~,~Queensland~
~001049~,~Black Point~
~001050~,~Boutiliers Point~
~001051~,~Island View~
~001052~,~Masons Point~
~001053~,~Head of St. Margarets Bay~
~001054~,~Allen Heights~
~001055~,~French Village Station~
~001056~,~Stillwater Lake~
~001057~,~Highland Park/Parc~
~001058~,~Pockwock~
~001059~,~Upper Hammonds Plains~
~001060~,~Hammonds Plains~
~001061~,~Uplands Park~
~001062~,~Lucasville~
~001063~,~Timber Trails/Pistes~
~001064~,~Lower Sackville~
~001065~,~Sackville Manor/Manoir~
~001066~,~Mob. Est.--Lower Sackville~
~001067~,~Middle Sackville~
~001068~,~Upper Sackville~
~001069~,~Woodbine Trailer Park/Parc~
~001070~,~Beaverbank~
~001071~,~Kinsac~
~001072~,~Beaverbank Villa~
~001073~,~Scotia Nursing Home/Foyer~
~001074~,~Lakeview~
~001075~,~Waverley~
~001076~,~Windsor Junction~
~001077~,~Fall River~
~001078~,~Fletcher Lake~
~001079~,~Lockview Road/Chemin~
~001080~,~Wellington~
~001081~,~Oldham~
~001082~,~Lantz--Halifax County~
~001083~,~Lakeside--Timberlea~
~001084~,~Hatchet Lake--Prospect~
~001085~,~Highland Pk--Hammonds Plains~
~001086~,~Sackville--Beaverbank~
~001087~,~Waverley--Fall River~
~001088~,~Fox Point~
~001089~,~Mill Cove N~
~001090~,~Bayswater~
~001091~,~Blandford~
~001092~,~East River~
~001093~,~East Chester~
~001094~,~Windsor Road~
~001095~,~Seffernville--New Ross~
~001096~,~Mill Road~
~001097~,~New Ross~
~001098~,~New Ross N~
~001099~,~Forties~
~001100~,~Chester Village~
~001101~,~Chester Village E~
~001102~,~Chester Village N~
~001103~,~Robinson Corner~
~001104~,~Marriotts Cove~
~001105~,~Chester Basin E~
~001106~,~Chester Basin S~
~001107~,~Chester Basin W/O~
~001108~,~Beech Hill~
~001109~,~Gold River E~
~001110~,~Gold River W/O~
~001111~,~Western Shore E~
~001112~,~Western Shore S~
~001113~,~Martins Point~
~001114~,~Martins Point W/O~
~001115~,~Shoreham Village~
~001116~,~Martins River~
~001117~,~Indian Point--Oakland~
~001118~,~Clearland~
~001119~,~New Cornwall~
~001120~,~Mahone Bay N~
~001121~,~Mahone Bay Central~
~001122~,~Mahone Bay S~
~001123~,~Block House W/O~
~001124~,~Block House E~
~001125~,~Centre Range/Rang~
~001126~,~Maders Cove~
~001127~,~Martins Brook~
~001128~,~Oak Hill N~
~001129~,~Oak Hill S~
~001130~,~Big Tancook Island~
~001131~,~Little Tancook Island~
~001132~,~Ironbound Island~
~001133~,~Lunenburg E~
~001134~,~Lunenburg W/O~
~001135~,~Garden Lots~
~001136~,~Blue Rocks~
~001137~,~First Peninsula~
~001138~,~First South~
~001139~,~Rose Bay--Kingsburg~
~001140~,~Bayport~
~001141~,~Riverport--Lower LaHave~
~001142~,~LaHave E~
~001143~,~Upper LaHave~
~001144~,~Rhodes Corner~
